                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2861,                 1.7352,                 1.3233,                0.63431,                0.52008,                0.58696,                0.41724,                 1.1577,                 1.2325,                 1.1655,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2863,                 1.5849,                    1.3,                0.67065,                0.51458,                  0.593,                0.42568,                 1.1515,                 1.2066,                 1.1615,             1.7497e-05,             1.7497e-05,             1.7497e-05
                      3,                 1.2751,                 1.5657,                 1.2473,                0.70103,                0.50713,                0.59574,                0.42862,                 1.1488,                 1.1832,                 1.1589,             2.6286e-05,             2.6286e-05,             2.6286e-05
                      4,                 1.3166,                 1.5771,                 1.2966,                0.66685,                0.53202,                 0.6122,                0.44008,                 1.1447,                 1.1548,                 1.1555,             3.4699e-05,             3.4699e-05,             3.4699e-05
                      5,                 1.2326,                  1.401,                 1.2716,                0.65909,                0.57086,                0.62731,                0.44573,                 1.1365,                 1.1298,                 1.1493,             4.2734e-05,             4.2734e-05,             4.2734e-05
                      6,                 1.2035,                 1.4929,                 1.2436,                0.63907,                0.58106,                0.64031,                0.45991,                 1.1212,                  1.106,                 1.1392,             5.0393e-05,             5.0393e-05,             5.0393e-05
                      7,                 1.1918,                 1.3357,                 1.2344,                0.63659,                0.60779,                0.65127,                0.46469,                 1.1184,                 1.0875,                 1.1359,             5.7675e-05,             5.7675e-05,             5.7675e-05
                      8,                 1.1898,                  1.337,                 1.2413,                0.63447,                0.60032,                0.65755,                0.47297,                 1.1092,                 1.0656,                 1.1322,             6.4579e-05,             6.4579e-05,             6.4579e-05
                      9,                 1.1344,                 1.2529,                 1.1891,                0.65482,                0.62935,                0.68425,                0.48943,                 1.0969,                 1.0375,                 1.1261,             7.1107e-05,             7.1107e-05,             7.1107e-05
                     10,                 1.1644,                 1.3135,                 1.2412,                0.65751,                0.64019,                0.69015,                0.49823,                 1.0923,                 1.0265,                 1.1261,             7.7257e-05,             7.7257e-05,             7.7257e-05
                     11,                   1.14,                 1.2541,                 1.1975,                0.64112,                0.66546,                0.70066,                0.51082,                 1.0875,                  1.009,                 1.1231,             8.3031e-05,             8.3031e-05,             8.3031e-05
                     12,                 1.1879,                  1.291,                 1.2451,                 0.7013,                0.64296,                0.71239,                0.52073,                 1.0867,                0.99652,                 1.1226,             8.8428e-05,             8.8428e-05,             8.8428e-05
                     13,                 1.1415,                 1.2314,                 1.2037,                0.68006,                0.68124,                0.72048,                0.52761,                 1.0775,                  0.976,                 1.1182,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     14,                 1.1272,                 1.2324,                  1.218,                0.69763,                 0.6809,                0.72487,                0.53328,                 1.0701,                0.95831,                 1.1123,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     15,                 1.0631,                 1.1626,                 1.1815,                0.74071,                0.67283,                0.72809,                0.53424,                 1.0628,                0.94537,                 1.1082,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     16,                 1.1134,                 1.1645,                 1.1885,                0.77485,                0.66625,                0.73281,                0.54373,                 1.0566,                0.93184,                 1.1062,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     17,                 1.1365,                 1.2004,                 1.1926,                0.80198,                0.65749,                0.73601,                0.54836,                 1.0486,                0.92063,                 1.1033,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     18,                 1.1635,                 1.1779,                 1.1809,                0.79843,                0.66495,                0.73582,                0.55286,                 1.0412,                0.91031,                 1.0959,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     19,                 1.0767,                  1.121,                 1.1755,                0.78119,                0.67703,                0.74381,                0.56021,                 1.0331,                0.90466,                 1.0901,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     20,                 1.1011,                 1.1623,                 1.1892,                0.77018,                0.69467,                 0.7499,                 0.5653,                 1.0261,                0.89084,                 1.0843,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     21,                 1.1115,                 1.0908,                 1.1744,                0.76784,                0.70205,                0.75335,                0.56804,                 1.0155,                0.87388,                 1.0798,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     22,                 1.0865,                 1.0684,                 1.1555,                0.75278,                0.71096,                0.75917,                0.57554,                 1.0085,                0.86101,                 1.0749,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     23,                 1.0778,                 1.0945,                 1.1925,                0.75564,                0.71353,                0.76134,                0.57975,                 1.0084,                0.85574,                 1.0729,              6.952e-05,              6.952e-05,              6.952e-05
                     24,                 1.0732,                 1.0961,                 1.1607,                0.76867,                0.70024,                0.76287,                0.58112,                  1.004,                0.85147,                 1.0688,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     25,                 1.0705,                 1.0555,                  1.159,                0.77045,                0.69773,                0.76664,                0.58895,                0.99676,                0.84135,                 1.0641,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     26,                  1.101,                 1.0757,                 1.1625,                 0.7983,                0.67785,                0.77373,                 0.5972,                0.99088,                0.83331,                 1.0611,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     27,                 1.0561,                 1.0375,                 1.1656,                0.83484,                 0.6601,                0.77771,                0.59901,                0.98837,                0.82604,                 1.0601,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     28,                 1.0695,                 1.0387,                 1.1653,                0.83992,                0.66412,                0.78016,                0.59953,                 0.9823,                0.81765,                 1.0554,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     29,                 1.1492,                 1.0864,                  1.166,                0.85365,                0.66677,                0.78541,                0.60216,                0.97586,                0.81002,                 1.0515,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     30,                 1.0379,                 1.0064,                 1.1403,                 0.8492,                0.66836,                0.79196,                0.60619,                 0.9725,                 0.8061,                 1.0489,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     31,                  1.022,                 1.0038,                 1.1368,                0.83832,                0.67574,                0.79121,                0.60465,                0.96692,                0.80313,                 1.0456,              5.067e-05,              5.067e-05,              5.067e-05
                     32,                  1.032,                 1.0342,                 1.1313,                0.84292,                0.67226,                0.79835,                0.61083,                0.96383,                0.79602,                 1.0438,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     33,                 1.0707,                 1.0419,                 1.1675,                0.77137,                0.73013,                0.80069,                0.61529,                0.95883,                0.78941,                 1.0426,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     34,                  1.026,                0.98712,                 1.1283,                0.83906,                0.67768,                0.80255,                0.61688,                0.95412,                0.78289,                 1.0413,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     35,                 1.0559,                  1.051,                 1.1754,                 0.8066,                0.70406,                0.80191,                0.61768,                0.95086,                 0.7763,                 1.0388,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     36,                 1.0318,                0.99891,                 1.1459,                0.79438,                0.71992,                 0.8022,                0.61926,                0.94771,                0.77242,                 1.0373,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     37,                 1.0168,                 0.9949,                 1.1408,                0.79586,                0.71861,                0.80305,                0.62184,                0.94435,                0.76895,                 1.0355,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     38,                 1.0092,                0.99395,                 1.1396,                0.80538,                 0.7135,                 0.8033,                0.62521,                0.94219,                0.76421,                 1.0355,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     39,                 1.0413,                0.99009,                 1.1338,                0.83399,                0.69821,                0.80303,                0.62447,                0.94013,                 0.7606,                 1.0343,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     40,                 1.0555,                 1.0398,                 1.1481,                0.83411,                0.69607,                0.80441,                0.62824,                0.93788,                0.75696,                 1.0329,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     41,                0.99871,                0.99644,                 1.1135,                0.85258,                0.69781,                 0.8069,                0.62821,                0.93499,                0.75631,                 1.0278,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     42,                 1.0495,                 1.0306,                 1.1218,                0.83505,                0.70228,                0.80406,                0.62173,                0.93591,                0.75924,                 1.0262,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     43,                 1.0386,                 1.0061,                 1.1122,                0.82313,                0.70184,                0.79779,                0.61357,                0.93826,                0.76188,                 1.0262,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     44,                 1.0562,                 1.0257,                  1.154,                0.80898,                0.70502,                  0.795,                 0.6144,                0.94095,                0.76498,                 1.0272,              2.004e-05,              2.004e-05,              2.004e-05
                     45,                 1.0434,                 0.9816,                 1.1255,                0.82766,                0.70525,                0.79857,                0.61392,                0.94328,                0.76707,                 1.0278,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     46,                 1.0409,                 0.9532,                 1.1152,                0.79231,                0.71478,                0.79787,                0.61522,                0.94318,                0.76828,                 1.0279,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     47,                 1.0318,                0.94009,                 1.0993,                0.77778,                 0.7146,                0.79591,                0.61476,                0.94216,                0.76919,                 1.0278,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     48,                 1.0193,                0.94772,                 1.1264,                0.77258,                0.71602,                0.79518,                0.61479,                0.93988,                0.76939,                 1.0275,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     49,                 1.0072,                0.91166,                 1.0991,                0.77103,                0.71813,                0.79656,                0.61508,                0.93736,                0.76988,                 1.0264,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     50,                 1.0471,                0.95886,                 1.1125,                0.77682,                0.72659,                0.79697,                0.61552,                0.93655,                0.77044,                  1.026,             5.9024e-06,             5.9024e-06,             5.9024e-06
